Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2023-04-26,390.7,390.7,390.7,390.7,10000.0,0,406.88,444.53999999999996,556.52,3.7981551817688484,-102.26624289363474,-96.22007434924552,62.877998271785266,0.0,Neutral
2023-04-25,398.6,398.6,398.6,398.6,10000.0,0,415.14,461.57,575.9350000000001,1.8450184501845115,-102.79255463444986,-94.7085322131482,69.39961655353544,0.0,Neutral
2023-04-23,406.7,406.7,406.7,406.7,9000.0,0,420.41999999999996,477.81000000000006,601.355,1.8120631633445612,-102.77351900713455,-92.68752660782279,71.98031289487722,0.0,Neutral
2023-04-20,415.0,415.0,415.0,415.0,6900.0,0,425.48,493.23999999999995,626.37,1.8518518518518476,-102.07906234816647,-90.16602850799485,71.58024556786286,0.0,Neutral
2023-04-19,423.4,423.4,423.4,423.4,5000.0,0,454.68,507.84,639.62,1.893939393939391,-100.55298766929207,-87.18777004795194,68.67953277521788,0.0,Neutral
2023-04-16,432.0,432.0,432.0,432.0,1000.0,0,482.2,521.6,652.45,1.9390581717451596,-97.9978452585209,-83.84646564261692,63.46862742069252,0.0,Neutral
2023-04-13,425.0,425.0,425.0,425.0,2000.0,0,508.0,554.8,664.85,0.0,-94.186767559558,-80.30862073864093,91.8704401740724,0.0,Neutral
2023-04-11,432.0,432.0,432.0,432.0,1000.0,0,535.2,590.2,677.6,0.0,-87.23972995019733,-76.83908403341165,103.73449013922276,0.0,Neutral
2022-09-15,561.0,561.0,561.0,561.0,19000.0,0,561.0,624.9,690.0,0.0,-77.81656951133766,-74.23892255421522,102.9697366543527,0.0,Neutral
2022-09-14,561.0,561.0,561.0,561.0,2000.0,0,561.0,646.7,696.45,39.616055846422334,-77.79185826739194,-73.34451081493461,110.72292746611588,0.0,Neutral
2022-08-02,561.0,561.0,561.0,561.0,5000.0,0,561.0,668.5,704.75,39.616055846422334,-76.62879979577542,-72.23267395182026,113.4031647608561,0.0,Neutral
2022-06-07,561.0,561.0,561.0,561.0,6132.0,0,601.6,690.3,695.7,39.616055846422334,-74.02971353133728,-71.13364249083148,111.37728673297846,0.0,Neutral
2022-05-26,561.0,561.0,561.0,561.0,5000.0,0,645.2,724.9,686.65,39.616055846422334,-69.63553850245319,-70.40962473070502,120.14477378008071,0.0,Neutral
2022-05-18,561.0,561.0,561.0,561.0,3000.0,0,688.8,759.5,677.85,39.616055846422334,-63.0140927237328,-70.60314628776798,117.4916072652761,0.0,Neutral
2022-05-17,561.0,561.0,561.0,561.0,2504.0,0,732.4,771.4,669.05,38.936535162950264,-53.64615149018448,-72.50040967877678,99.85567362726897,0.0,Neutral
2021-12-29,764.0,764.0,764.0,764.0,5000.0,0,776.0,783.3,666.0,54.43645083932854,-40.90894429405273,-77.21397422592486,76.3108409365573,0.0,Neutral
2021-12-27,779.0,779.0,779.0,779.0,4500.0,0,779.0,774.9,652.8,76.63551401869158,-44.72568791944025,-86.29023170889288,83.00127174393906,0.0,Neutral
2021-12-26,779.0,779.0,779.0,779.0,5215.0,0,804.6,765.0,638.85,76.63551401869158,-50.47395795883392,-96.68136765625601,88.19926933433868,0.0,Neutral
2021-12-21,779.0,779.0,779.0,779.0,2000.0,0,830.2,755.1,630.65,76.12732095490716,-57.07667414789512,-108.23322008061155,91.93046889422035,0.0,Neutral
2021-12-02,779.0,779.0,779.0,779.0,9000.0,0,810.4,746.2,622.45,76.12732095490716,-64.67393482341834,-121.02235656379065,93.65160021175467,0.0,Neutral
2021-11-25,779.0,779.0,779.0,779.0,22000.0,0,790.6,741.0,614.25,66.05293440736479,-73.43009030638211,-135.10946199888372,93.06986622962401,0.0,Neutral
2021-08-19,907.0,907.0,907.0,907.0,3995.0,0,770.8,701.1,606.05,77.46288798920378,-83.5380547183629,-150.52930492200912,145.64603210066096,0.0,Neutral
2021-08-17,907.0,907.0,907.0,907.0,5000.0,0,725.4,648.4,628.7,77.46288798920378,-108.2571212264786,-167.27711747292065,157.71014199755507,0.0,Neutral
2021-05-11,680.0,680.0,680.0,680.0,20500.0,0,680.0,596.2,651.95,55.16693163751988,-138.23298980627033,-182.03211653453116,148.738995858144,0.0,Neutral
2021-05-02,680.0,680.0,680.0,680.0,20000.0,0,682.0,566.7,687.95,55.16693163751988,-151.36970948729515,-192.98189821659636,159.16102956858947,0.0,Neutral
2021-04-13,680.0,680.0,680.0,680.0,3000.0,0,691.4,548.7,724.95,55.16693163751988,-165.93519956035163,-203.38494539892164,155.04913199800058,0.0,Neutral
2021-04-12,680.0,680.0,680.0,680.0,6400.0,0,631.4,530.7,,55.16693163751988,-182.11245853272044,-212.74738185856413,148.41911377357502,0.0,Neutral
2021-03-30,680.0,680.0,680.0,680.0,11500.0,0,571.4,512.7,,25.254730713246005,-200.1116151333406,-220.40611269002503,138.9108827030244,0.0,Neutral
2021-02-16,690.0,690.0,690.0,690.0,26000.0,0,512.4,506.2,,25.21802325581396,-220.17436970164715,-225.47973707919613,131.53774278806006,0.0,Neutral
2021-02-15,727.0,727.0,727.0,727.0,3600.0,0,451.4,498.7,,25.384052670080465,-243.5973856095344,-226.80607892358336,121.66077611311097,0.0,Neutral
2019-07-14,380.0,380.0,380.0,380.0,1000.0,0,406.0,487.5,,0.0,-273.7177093958263,-222.60825225209555,101.85092592171746,0.0,Neutral
2019-07-07,380.0,380.0,380.0,380.0,6500.0,0,430.0,511.0,,0.0,-272.8499378009359,-209.83088796616286,101.40129300074182,0.0,Neutral
2019-05-07,385.0,385.0,385.0,385.0,1000.0,0,454.0,609.0,,,-267.77361932453493,-194.0761255074696,278.91456278461584,0.0,Neutral
2019-03-10,385.0,385.0,385.0,385.0,7000.0,0,500.0,707.7,,,-257.90859291539005,-175.65175205320327,355.07684614272824,0.0,Neutral
2018-12-30,500.0,500.0,500.0,500.0,2400.0,0,546.0,809.2,,,-241.5658342198576,-155.08754183765654,395.3672835337908,0.0,Neutral
2018-12-16,500.0,500.0,500.0,500.0,1000.0,0,569.0,901.2,,,-228.90193735072535,-133.46796874210628,421.59348508565296,0.0,Neutral
2018-10-11,500.0,500.0,500.0,500.0,18000.0,0,592.0,,,,-209.40871716720426,-109.60947658995153,,0.0,Neutral
2018-06-28,615.0,615.0,615.0,615.0,5000.0,0,764.0,,,,-181.4823347923509,-84.65966644563835,,0.0,Neutral
2018-06-10,615.0,615.0,615.0,615.0,1000.0,0,915.4,,,,-154.90746369146723,-60.4539993589602,,0.0,Neutral
2018-06-06,615.0,615.0,615.0,615.0,1000.0,0,1072.4,,,,-118.73506510537277,-36.84063327583344,,0.0,Neutral
2018-06-04,615.0,615.0,615.0,615.0,2000.0,0,1233.4,,,,-70.8388754175885,-16.36702531844861,,0.0,Neutral
2017-06-14,1372.0,1360.0,1360.0,1360.0,7875.0,0,,,,,-8.675536937287688,-2.7490627936636374,,0.0,Neutral
2017-05-11,1400.0,1372.0,1372.0,1372.0,1000.0,0,,,,,-5.060868012434867,-1.2674442577576248,,0.0,Neutral
2017-03-30,1420.0,1400.0,1400.0,1400.0,7300.0,0,,,,,-1.5954415954415708,-0.3190883190883142,,0.0,Neutral
2016-10-24,1420.0,1420.0,1420.0,1420.0,1000.0,0,,,,,0.0,0.0,,0.0,Neutral
